Year,Renewable energy share in the total final energy consumption (%)
2000,26.54
2001,25.53
2002,24.68
2003,24.64
2004,22.63
2005,21.99
2006,21.96
2007,21.84
2008,21.91
2009,22.5
2010,22.3
2011,22.74
2012,22.45
2013,23.82
2014,24.165
2015,23.925
2016,22.73
2017,23.855
2018,23.905
2019,23.75
