id,name,picture_url,neighbourhood_cleansed,latitude,longitude,room_type,price,number_of_reviews,review_scores_rating
7.94E+17,"Beautiful, Stylish Green Studio in London",https://a0.muscache.com/pictures/prohost-api/Hosting-794081108027419714/original/ebd4aa9d-6f8a-4ee0-b41d-2f9779fc6a3f.jpeg,Barnet,51.57185,-0.20183,Entire home/apt,89,26,4.85
7.93E+17,Double room in east London,https://a0.muscache.com/pictures/bd101acb-e822-46ec-ab4f-8639fbdd5fc7.jpg,Waltham Forest,51.64245879,-0.007556896,Private room,41,6,4.83
7.93E+17,"Modern One Bedroom, Sleeps 4 in Brockley SE4",https://a0.muscache.com/pictures/miso/Hosting-792798041441633925/original/e769e6d9-6c77-4754-b9d2-ccefbb1aea58.jpeg,Lewisham,51.46535786,-0.042760457,Private room,119,1,5
7.95E+17,Double bedroom in city center,https://a0.muscache.com/pictures/miso/Hosting-794814604435855725/original/147a076f-4f14-4bf9-aff0-c6d1bbb039ba.jpeg,Hounslow,51.46896536,-0.361497431,Private room,51,1,5
7.95E+17,"Spacious one-bedroom flat in Tooting, London",https://a0.muscache.com/pictures/hosting/Hosting-794862454775607454/original/b7746df9-112a-4f98-a845-7ade726f3dd1.jpeg,Wandsworth,51.42540316,-0.171561414,Entire home/apt,86,26,4.69
7.95E+17,Private en-suite room- Modern house in Clapham SW4,https://a0.muscache.com/pictures/miso/Hosting-794900666317409522/original/b1d34ed4-726f-4e01-8403-1680465f9451.jpeg,Lambeth,51.45033884,-0.130437299,Private room,92,17,5
7.95E+17,Large luxury 1-bedroom Mayfair apartment,https://a0.muscache.com/pictures/miso/Hosting-795000178854182374/original/e6623e2f-33c6-4328-8b67-41f4e1eb32fa.jpeg,Westminster,51.5129297,-0.1498252,Entire home/apt,800,3,5
7.93E+17,Lovely 1 double bed near Canary Wharf,https://a0.muscache.com/pictures/f6bac62c-7a0c-409d-9be8-865c85188bea.jpg,Tower Hamlets,51.5150488,0.0011455,Private room,78,4,5
7.93E+17,"Apartment Luxe free wifi,free parking,free netflix",https://a0.muscache.com/pictures/miso/Hosting-792861995595428105/original/be849adf-c12b-4981-8d8b-933d6628f2c5.jpeg,Havering,51.6022424,0.1572365,Entire home/apt,100,20,4.85
7.95E+17,A deluxe quiet double room in London,https://a0.muscache.com/pictures/miso/Hosting-795352852282727615/original/a6bc1d82-8632-49e8-b258-5d99e70c873f.jpeg,Brent,51.56014433,-0.222912356,Private room,50,63,4.84
7.93E+17,Stylish private en-suite room in Crystal Palace,https://a0.muscache.com/pictures/miso/Hosting-793302296817712549/original/399a1ef5-0a1f-4bce-934a-5a5f34a2c73d.jpeg,Croydon,51.41411969,-0.08132046,Private room,75,43,4.93
7.93E+17,Stylish flat in South London,https://a0.muscache.com/pictures/miso/Hosting-793356072895893595/original/229d9c4a-ab90-4e5d-a52c-f8a4a7bd2a6e.jpeg,Southwark,51.48331732,-0.093929548,Entire home/apt,97,18,4.78
7.95E+17,Private 1 bed Cottage + Garden,https://a0.muscache.com/pictures/miso/Hosting-795417942749996211/original/42f4c6f0-6148-482e-888e-70017f0e902f.jpeg,Wandsworth,51.42813171,-0.159994487,Entire home/apt,165,2,5
7.93E+17,Modern 1 Bedroom Flat Near City,https://a0.muscache.com/pictures/a1c7ab49-9188-4eea-8b62-d7a5026dbcfa.jpg,Lambeth,51.47414031,-0.121082354,Entire home/apt,130,23,4.74
7.94E+17,A quiet double bedroom up to 2 pp Near King'sCross,https://a0.muscache.com/pictures/miso/Hosting-793665622448903079/original/a2a3977c-a142-4cbe-b445-93f0f86d89ed.jpeg,Islington,51.5407009,-0.1189772,Private room,70,19,4.53
7.96E+17,Spacious room in renovated flat,https://a0.muscache.com/pictures/miso/Hosting-795590925208952017/original/e32b71e0-e917-430e-8f47-a290628878ba.jpeg,Hammersmith and Fulham,51.4936075,-0.2338887,Private room,96,43,4.93
7.96E+17,Elegant Chelsea Apartment,https://a0.muscache.com/pictures/miso/Hosting-795633404936194843/original/f6c5089a-f07a-4fa9-ba70-93b39efd19b3.jpeg,Kensington and Chelsea,51.49267567,-0.166752599,Entire home/apt,218,7,4.86
7.94E+17,"Flat in Haggerston, Dalston Area",https://a0.muscache.com/pictures/miso/Hosting-793848906142579814/original/f8642888-9195-4f17-a84e-f0d34bccfe76.jpeg,Hackney,51.53827226,-0.077999015,Entire home/apt,99,57,4.58
7.96E+17,Angel flat by the canal,https://a0.muscache.com/pictures/miso/Hosting-796304554830388557/original/222551ae-8e27-42f3-b214-0037ddd36fac.png,Islington,51.5300659,-0.097288,Entire home/apt,145,21,4.81
7.96E+17,"Dreamy Loft, Antique Wood Flooring & High Ceilings",https://a0.muscache.com/pictures/miso/Hosting-796364064398244472/original/e2037bd3-001c-47cb-8c71-5dcae4f38eb7.jpeg,Tower Hamlets,51.5215016,-0.0493396,Entire home/apt,131,19,4.89
7.96E+17,Penge Luxury Travel Retreat,https://a0.muscache.com/pictures/miso/Hosting-795656728484350497/original/be85d757-2fb9-4e8d-89c3-cb522eb46e45.jpeg,Bromley,51.41477445,-0.056504129,Private room,48,106,4.8
7.96E+17,Luxury flat in London,https://a0.muscache.com/pictures/be6485a8-367d-4b69-96c6-bf23be91c072.jpg,Richmond upon Thames,51.43069744,-0.342042109,Entire home/apt,140,6,4.83
7.96E+17,Wonderful Secret Suite with rock star history,https://a0.muscache.com/pictures/miso/Hosting-795737492266999431/original/b4996aee-f585-426a-8e25-6ad16c9cb9c3.jpeg,Islington,51.52240648,-0.10465242,Private room,95,52,4.79
7.96E+17,Bright 1-bedroom flat in the heart of Camden Town,https://a0.muscache.com/pictures/miso/Hosting-795750761317129693/original/0636ee2c-4f5d-4a21-af4b-61e4ee5f1823.jpeg,Camden,51.53849281,-0.143091176,Entire home/apt,170,18,4.72
7.96E+17,Beautiful modern cosy house.,https://a0.muscache.com/pictures/miso/Hosting-796479217374451928/original/60519fec-f3f0-4985-906a-7ad4e69f6ed7.jpeg,Haringey,51.60176977,-0.082817035,Entire home/apt,120,45,4.91
7.97E+17,Rosie Modern London garden view,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Nzk2NTM0NzA3MDc5ODQ2NTk0/original/60b47ebb-644a-4b86-b3e6-52bf4175eed1.jpeg,Barnet,51.56079403,-0.219377205,Private room,48,61,4.95
