date,label,value,trend
1971-01-01,1971 Q1,45.22292993630573,45.20653201682159
1971-04-01,1971 Q2,46.07218683651804,45.44805247553263
1971-07-01,1971 Q3,46.92144373673036,45.69086328166413
1971-10-01,1971 Q4,47.23991507430998,45.934971329027384
1972-01-01,1972 Q1,46.92144373673036,46.18038354826457
1972-04-01,1972 Q2,47.77070063694268,46.42710690704552
1972-07-01,1972 Q3,47.87685774946922,46.675148410265535
1972-10-01,1972 Q4,48.40764331210191,46.924515100244285
1973-01-01,1973 Q1,50.318471337579616,47.175214056925746
1973-04-01,1973 Q2,50.318471337579616,47.4272523980792
1973-07-01,1973 Q3,49.787685774946915,47.68063727950133
1973-10-01,1973 Q4,49.575371549893845,47.93537589521941
1974-01-01,1974 Q1,48.40764331210191,48.191475477695484
1974-04-01,1974 Q2,49.15074309978768,48.4489432980318
1974-07-01,1974 Q3,49.68152866242038,48.70778666617717
1974-10-01,1974 Q4,49.15074309978768,48.96801293113457
1975-01-01,1975 Q1,49.575371549893845,49.229629481169745
1975-04-01,1975 Q2,49.044585987261144,49.49264374402102
1975-07-01,1975 Q3,49.044585987261144,49.75706318711013
1975-10-01,1975 Q4,49.89384288747346,50.02289531775428
1976-01-01,1976 Q1,50.84925690021231,50.290147683379296
1976-04-01,1976 Q2,50.74309978768577,50.55882787173385
1976-07-01,1976 Q3,51.38004246284501,50.82894351110494
1976-10-01,1976 Q4,52.22929936305732,51.10050227053447
1977-01-01,1977 Q1,52.33545647558386,51.37351186003697
1977-04-01,1977 Q2,51.69851380042463,51.64798003081849
1977-07-01,1977 Q3,51.910828025477706,51.92391457549668
1977-10-01,1977 Q4,52.653927813163484,52.201323328322054
1978-01-01,1978 Q1,53.07855626326964,52.48021416540038
1978-04-01,1978 Q2,53.503184713375795,52.76059500491633
1978-07-01,1978 Q3,54.14012738853503,53.04247380735827
1978-10-01,1978 Q4,54.24628450106157,53.32585857574427
1979-01-01,1979 Q1,53.82165605095541,53.61075735584935
1979-04-01,1979 Q2,55.9447983014862,53.89717823643389
1979-07-01,1979 Q3,54.989384288747345,54.185129349473264
1979-10-01,1979 Q4,55.4140127388535,54.47461887038878
1980-01-01,1980 Q1,54.989384288747345,54.765655018279745
1980-04-01,1980 Q2,54.67091295116773,55.058246056156825
1980-07-01,1980 Q3,55.30785562632696,55.35240029117667
1980-10-01,1980 Q4,55.4140127388535,55.64812607487774
1981-01-01,1981 Q1,56.15711252653928,55.945431803417435
1981-04-01,1981 Q2,57.11252653927813,56.24432591781048
1981-07-01,1981 Q3,58.174097664543524,56.544816904168556
1981-10-01,1981 Q4,58.70488322717622,56.84691329394127
1982-01-01,1982 Q1,58.917197452229296,57.15062366415835
1982-04-01,1982 Q2,59.87261146496815,57.45595663767318
1982-07-01,1982 Q3,60.509554140127385,57.762920883407595
1982-10-01,1982 Q4,61.252653927813164,58.07152511659803
1983-01-01,1983 Q1,62.95116772823779,58.38177809904295
1983-04-01,1983 Q2,63.16348195329087,58.69368863935159
1983-07-01,1983 Q3,63.481953290870486,59.007265593194106
1983-10-01,1983 Q4,63.37579617834395,59.32251786355294
1984-01-01,1984 Q1,63.588110403397025,59.63945440097562
1984-04-01,1984 Q2,62.42038216560509,59.95808420382889
